Full Journal Title	Abbre1（Endnote来源）	Abbre2（Endnote来源）	Abbre3（Endnote来源）
TOURISM MANAGEMENT	#N/A	Tourism Manage	"Tourism Manage,6.012"
Annals of the New York Academy of Sciences	Ann. N. Y. Acad. Sci.	Ann N Y Acad Sci	"Ann N Y Acad Sci,4.295"
BRITISH JOURNAL OF DERMATOLOGY	Br. J. Dermatol.	Br J Dermatol	"Br J Dermatol,6.714"
EXPERIMENTAL NEUROLOGY	Exp. Neurol.	Exp Neurol	"Exp Neurol,4.562"
JOURNAL OF ENDOCRINOLOGY	J. Endocrinol.	J Endocrinol	"J Endocrinol,4.381"
BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION	Biol. Blood Marrow Transplant.	Biol Blood Marrow Transplant	"Biol Blood Marrow Transplant,3.599"
BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS	#N/A	Bba-Gen Subjects	"Bba-Gen Subjects,3.681"
CURRENT OPINION IN NEUROLOGY	Curr. Opin. Neurol.	Curr Opin Neurol	"Curr Opin Neurol,4.647"
Brain Structure & Function	#N/A	Brain Structure & Function	"Brain Structure & Function,3.622"
CANCER AND METASTASIS REVIEWS	Cancer Metastasis Rev.	Cancer Metastasis Rev	"Cancer Metastasis Rev,6.667"
MOLECULAR PLANT PATHOLOGY	Mol. Plant Pathol.	Mol Plant Pathol	"Mol Plant Pathol,4.379"
JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY	#N/A	J Amer Math Soc	"J Amer Math Soc,4.091"
Disease Models & Mechanisms	Dis. Model. Mech.	Dis Model Mech	"Dis Model Mech,4.028"
IMA Fungus	#N/A	Ima Fungus	"Ima Fungus,4.333"
JOURNAL OF MOLECULAR MEDICINE-JMM	#N/A	J Molecular Med-Jmm	"J Molecular Med-Jmm,4.746"
Photonics Research	#N/A	Photonics Research	"Photonics Research,5.522"
Journal of the National Comprehensive Cancer Network	J. Natl. Compr. Canc. Netw.	J Natl Compr Canc Netw	"J Natl Compr Canc Netw,7.570"
HUMAN-COMPUTER INTERACTION	#N/A	Human-Computer Interaction	"Human-Computer Interaction,3.360"
PSYCHOLOGICAL METHODS	Psychol. Methods	Psychol Methods	"Psychol Methods,8.188"
Virulence	#N/A	Virulence	"Virulence,4.775"
JOURNAL OF VIROLOGY	J. Virol.	J Virol	"J Virol,4.324"
GLOBAL BIOGEOCHEMICAL CYCLES	#N/A	Global Biogeochem Cycle	"Global Biogeochem Cycle,5.733"
Global Change Biology Bioenergy	#N/A	Global Change Biology Bioenergy	"Global Change Biology Bioenergy,4.849"
Translational Research	#N/A	Translational Research	"Translational Research,4.915"
Aging and Disease	Aging Dis.	Aging Dis	"Aging Dis,4.232"
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH	Int. J. Hyg. Environ. Health	Int J Hyg Environ Health	"Int J Hyg Environ Health,4.379"
DEVELOPMENTAL REVIEW	Dev. Rev.	Dev Rev	"Dev Rev,4.846"
HUMAN GENETICS	Hum. Genet.	Hum Genet	"Hum Genet,5.207"
CATALYSIS TODAY	#N/A	Catal Today	"Catal Today,4.888"
JMIR mHealth and uHealth	#N/A	Jmir Mhealth And Uhealth	"Jmir Mhealth And Uhealth,4.301"
GEOLOGY	Geology	Geology	"Geology,5.006"
JOURNAL OF MOLECULAR BIOLOGY	J. Mol. Biol.	J Mol Biol	"J Mol Biol,5.067"
COMPLEXITY	#N/A	Complexity	"Complexity,2.591"
Reviews in Aquaculture	#N/A	Reviews In Aquaculture	"Reviews In Aquaculture,7.190"
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY	#N/A	J Roy Stat Soc Ser B-Stat Met	"J Roy Stat Soc Ser B-Stat Met,3.278"
GEOCHIMICA ET COSMOCHIMICA ACTA	Geochim. Cosmochim. Acta	Geochim Cosmochim Acta	"Geochim Cosmochim Acta,4.258"
NICOTINE & TOBACCO RESEARCH	Nicotine Tobacco Res.	Nicotine Tobacco Res	"Nicotine Tobacco Res,3.786"
NICOTINE & TOBACCO RESEARCH	Nicotine Tobacco Res.	Nicotine Tobacco Res	"Nicotine Tobacco Res,3.786"
RNA	RNA	RNA	"RNA,3.949"
DEVELOPMENTAL SCIENCE	#N/A	Dev Sci	"Dev Sci,4.096"
ADDICTION BIOLOGY	Addict. Biol.	Addict Biol	"Addict Biol,4.223"
FUEL	#N/A	Fuel	"Fuel,5.128"
HUMAN MUTATION	Hum. Mutat.	Hum Mutat	"Hum Mutat,4.453"
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY	J. Consult. Clin. Psychol.	J Consult Clin Psychol	"J Consult Clin Psychol,4.358"
Oxidative Medicine and Cellular Longevity	Oxid. Med. Cell. Longev.	Oxid Med Cell Longev	"Oxid Med Cell Longev,4.868"
PATTERN RECOGNITION	#N/A	Patt Recog	"Patt Recog,5.898"
BIOCHEMICAL PHARMACOLOGY	Biochem. Pharmacol.	Biochem Pharmacol	"Biochem Pharmacol,4.825"
MICROCHIMICA ACTA	#N/A	Microchim Acta	"Microchim Acta,5.479"
Wiley Interdisciplinary Reviews-Climate Change	#N/A	Wiley Interdisciplinary Reviews-Climate Change	"Wiley Interdisciplinary Reviews-Climate Change,7.057"
Wiley Interdisciplinary Reviews-Climate Change	#N/A	Wiley Interdisciplinary Reviews-Climate Change	"Wiley Interdisciplinary Reviews-Climate Change,7.057"
PHYSICAL REVIEW D	#N/A	Phys Rev D	"Phys Rev D,4.368"
Journal of Travel Research	#N/A	Journal Of Travel Research	"Journal Of Travel Research,5.338"
LANDSCAPE AND URBAN PLANNING	Landscape Urban Plann.	Landscape Urban Plann	"Landscape Urban Plann,5.144"
LANDSCAPE AND URBAN PLANNING	Landscape Urban Plann.	Landscape Urban Plann	"Landscape Urban Plann,5.144"
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY	#N/A	Bull Am Mus Nat Hist	"Bull Am Mus Nat Hist,2.800"
JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY	J. Steroid Biochem. Mol. Biol.	J Steroid Biochem Mol Biol	"J Steroid Biochem Mol Biol,3.785"
IMMUNOLOGY AND CELL BIOLOGY	Immunol. Cell Biol.	Immunol Cell Biol	"Immunol Cell Biol,3.947"
GENETICS	Genetics	Genetics	"Genetics,3.564"
Frontiers in Cellular Neuroscience	Front. Cell. Neurosci.	Front Cell Neurosci	"Front Cell Neurosci,3.900"
CELLULAR MICROBIOLOGY	Cell. Microbiol.	Cell Microbiol	"Cell Microbiol,4.288"
Arabian Journal of Chemistry	#N/A	Arabian Journal Of Chemistry	"Arabian Journal Of Chemistry,3.298"
CLINICAL NUTRITION	Clin. Nutr.	Clin Nutr	"Clin Nutr,6.402"
Journal of Materials Chemistry B	#N/A	Journal Of Materials Chemistry B	"Journal Of Materials Chemistry B,5.047"
PLoS Computational Biology	PLoS Comp. Biol.	PLoS Comput Biol	"PLoS Comput Biol,4.428"
Epigenomics	#N/A	Epigenomics	"Epigenomics,4.404"
Journal of Physical Chemistry C	#N/A	Journal Of Physical Chemistry C	"Journal Of Physical Chemistry C,4.309"
BIPOLAR DISORDERS	Bipolar Disorders	Bipolar Disorders	"Bipolar Disorders,4.936"
EUROPACE	#N/A	Europace	"Europace,6.100"
HUMAN BRAIN MAPPING	Hum. Brain Mapp.	Hum Brain Mapp	"Hum Brain Mapp,4.554"
FOOD CHEMISTRY	Food Chem.	Food Chem	"Food Chem,5.399"
KNOWLEDGE-BASED SYSTEMS	#N/A	Knowl-Based Syst	"Knowl-Based Syst,5.101"
JOURNAL OF MOLECULAR DIAGNOSTICS	J. Mol. Diagn.	J Mol Diagn	"J Mol Diagn,4.426"
INFLAMMATORY BOWEL DISEASES	Inflamm. Bowel Dis.	Inflamm Bowel Dis	"Inflamm Bowel Dis,4.005"
Circulation-Cardiovascular Quality and Outcomes	#N/A	Circulation-Cardiovascular Quality And Outcomes	"Circulation-Cardiovascular Quality And Outcomes,4.378"
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH	#N/A	Bba-Mol Cell Res	"Bba-Mol Cell Res,4.739"
Journal of Biomedical Nanotechnology	#N/A	Journal Of Biomedical Nanotechnology	#N/A
ENERGY	#N/A	Energy	"Energy,5.537"
EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY	Eur. J. Med. Chem.	Eur J Med Chem	"Eur J Med Chem,4.833"
JOURNAL OF PAIN	J. Pain	J Pain	"J Pain,5.424"
JOURNAL OF NUTRITIONAL BIOCHEMISTRY	#N/A	J Nutr Biochem	"J Nutr Biochem,4.490"
Clinical Colorectal Cancer	Clin. Colorectal Cancer	Clin Colorectal Cancer	"Clin Colorectal Cancer,3.176"
JOURNAL OF FINANCIAL ECONOMICS	J. Financ. Econ.	J Financ Econ	"J Financ Econ,4.693"
Frontiers in Aging Neuroscience	Front. Aging Neurosci.	Front Aging Neurosci	"Front Aging Neurosci,3.633"
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE	J. Cell. Mol. Med.	J Cell Mol Med	"J Cell Mol Med,4.658"
SEMINARS IN ARTHRITIS AND RHEUMATISM	Semin. Arthritis Rheum.	Semin Arthritis Rheum	"Semin Arthritis Rheum,5.072"
Surgery for Obesity and Related Diseases	Surg. Obes. Relat. Dis.	Surg Obes Relat Dis	"Surg Obes Relat Dis,3.758"
RESEARCH POLICY	#N/A	Res Policy	"Res Policy,5.425"
REVISTA ESPANOLA DE CARDIOLOGIA	#N/A	Rev Espan Cardiol	"Rev Espan Cardiol,5.126"
PARKINSONISM & RELATED DISORDERS	Parkinsonism Relat. Disord.	Parkinsonism Relat Disord	"Parkinsonism Relat Disord,4.360"
BIOTECHNOLOGY AND BIOENGINEERING	Biotechnol. Bioeng.	Biotechnol Bioeng	"Biotechnol Bioeng,4.260"
PHARMACOLOGICAL RESEARCH	Pharmacol. Res.	Pharmacol Res	"Pharmacol Res,5.574"
CURRENT OPINION IN RHEUMATOLOGY	Curr. Opin. Rheumatol.	Curr Opin Rheumatol	"Curr Opin Rheumatol,3.851"
JOURNAL OF ANIMAL ECOLOGY	J. Anim. Ecol.	J Anim Ecol	"J Anim Ecol,4.364"
PARTICLE & PARTICLE SYSTEMS CHARACTERIZATION	#N/A	Part Part Syst Charact	"Part Part Syst Charact,4.194"
SYSTEMATIC ENTOMOLOGY	Syst. Entomol.	Syst Entomol	"Syst Entomol,3.727"
NEPHROLOGY DIALYSIS TRANSPLANTATION	#N/A	Nephrol Dialysis Transplant	"Nephrol Dialysis Transplant,4.198"
BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM	#N/A	Best Pract Res Clin Endoc Met	"Best Pract Res Clin Endoc Met,3.808"
STRATEGIC MANAGEMENT JOURNAL	#N/A	Strateg Manage J	"Strateg Manage J,5.572"
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY	J. Thorac. Cardiovasc. Surg.	J Thorac Cardiovasc Surg	"J Thorac Cardiovasc Surg,5.261"
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC	#N/A	Publ Astron Soc Pac	"Publ Astron Soc Pac,3.470"
BIOESSAYS	Bioessays	Bioessays	"Bioessays,4.396"
MOLECULAR PHARMACEUTICS	Mol. Pharm.	Mol Pharm	"Mol Pharm,4.396"
INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY	#N/A	Int Rev Phys Chem	"Int Rev Phys Chem,10.172"
HYDROLOGY AND EARTH SYSTEM SCIENCES	#N/A	Hydrol Earth Syst Sci	"Hydrol Earth Syst Sci,4.936"
AMERICAN HEART JOURNAL	Am. Heart J.	Am Heart J	"Am Heart J,4.023"
EXERCISE AND SPORT SCIENCES REVIEWS	Exerc. Sport Sci. Rev.	Exerc Sport Sci Rev	"Exerc Sport Sci Rev,4.739"
JOURNAL OF CELL SCIENCE	J. Cell Sci.	J Cell Sci	"J Cell Sci,4.517"
IEEE Vehicular Technology Magazine	#N/A	Ieee Vehicular Technology Magazine	"Ieee Vehicular Technology Magazine,6.145"
JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY	#N/A	J Ind Eng Chem	"J Ind Eng Chem,4.978"
PROCEEDINGS OF THE NUTRITION SOCIETY	Proc. Nutr. Soc.	Proc Nutr Soc	"Proc Nutr Soc,5.017"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL	#N/A	J Exp Psychol-Gen	"J Exp Psychol-Gen,3.498"
MOLECULAR PHYLOGENETICS AND EVOLUTION	Mol. Phylogen. Evol.	Mol Phylogenet Evol	"Mol Phylogenet Evol,3.992"
STANFORD LAW REVIEW	Stanford Law Rev.	Stanford Law Rev	"Stanford Law Rev,3.825"
CHROMOSOMA	Chromosoma	Chromosoma	"Chromosoma,3.530"
SURVEYS IN GEOPHYSICS	#N/A	Surv Geophys	"Surv Geophys,5.226"
EARTH AND PLANETARY SCIENCE LETTERS	#N/A	Earth Planet Sci Lett	"Earth Planet Sci Lett,4.637"
EXPERT REVIEWS IN MOLECULAR MEDICINE	Expert Rev. Mol. Med.	Expert Rev Mol Med	"Expert Rev Mol Med,4.407"
ENVIRONMENTAL MODELLING & SOFTWARE	Environ. Model. Software	Environ Model Software	"Environ Model Software,4.552"
Environmental Research Letters	#N/A	Environmental Research Letters	"Environmental Research Letters,6.192"
CANADIAN JOURNAL OF CARDIOLOGY	Can. J. Cardiol.	Can J Cardiol	"Can J Cardiol,5.592"
AMERICAN SOCIOLOGICAL REVIEW	Am. Sociol. Rev.	Am Sociol Rev	"Am Sociol Rev,5.391"
Frontiers in Pharmacology	Front. Pharmacol.	Front Pharmacol	"Front Pharmacol,3.845"
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY	#N/A	Reviews In Environmental Science And Bio-Technology	"Reviews In Environmental Science And Bio-Technology,4.938"
MOLECULAR AND CELLULAR BIOLOGY	Mol. Cell. Biol.	Mol Cell Biol	"Mol Cell Biol,3.735"
WATER RESOURCES RESEARCH	#N/A	Water Resour Res	"Water Resour Res,4.142"
ELECTROCHEMISTRY COMMUNICATIONS	#N/A	Electrochem Commun	"Electrochem Commun,4.197"
International Journal of Behavioral Nutrition and Physical Activity	#N/A	International Journal Of Behavioral Nutrition And Physical Activity	"International Journal Of Behavioral Nutrition And Physical Activity,6.037"
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY	J. Clin. Child Adolesc. Psychol.	J Clin Child Adolesc Psychol	"J Clin Child Adolesc Psychol,4.356"
CNS DRUGS	CNS Drugs	CNS Drugs	"CNS Drugs,4.192"
Epigenetics	#N/A	Epigenetics	"Epigenetics,4.173"
DIVERSITY AND DISTRIBUTIONS	Divers. Distrib.	Divers Distrib	"Divers Distrib,4.092"
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY	J. Am. Geriatr. Soc.	J Am Geriatr Soc	"J Am Geriatr Soc,4.113"
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY	J. Am. Geriatr. Soc.	J Am Geriatr Soc	"J Am Geriatr Soc,4.113"
INDOOR AIR	Indoor Air	Indoor Air	"Indoor Air,4.710"
Ocular Surface	#N/A	Ocul Surf	"Ocul Surf,9.108"
FERTILITY AND STERILITY	Fertil. Steril.	Fertil Steril	"Fertil Steril,5.411"
EUROPEAN JOURNAL OF NUTRITION	Eur. J. Nutr.	Eur J Nutr	"Eur J Nutr,4.449"
ENVIRONMENTAL AND EXPERIMENTAL BOTANY	Environ. Exp. Bot.	Environ Exp Bot	"Environ Exp Bot,3.712"
MATERIALS & DESIGN	#N/A	Mater Design	"Mater Design,5.770"
PERSONNEL PSYCHOLOGY	Pers. Psychol.	Pers Psychol	"Pers Psychol,6.930"
IEEE-ASME TRANSACTIONS ON MECHATRONICS	#N/A	Ieee-Asme Trans Mechatron	"Ieee-Asme Trans Mechatron,4.943"
RENEWABLE ENERGY	#N/A	Renewable Energy	"Renewable Energy,5.439"
NeuroImage-Clinical	#N/A	Neuroimage-Clinical	"Neuroimage-Clinical,3.943"
APPLIED CATALYSIS A-GENERAL	#N/A	Appl Catal A-Gen	"Appl Catal A-Gen,4.630"
BJU INTERNATIONAL	BJU Int.	BJU Int	"BJU Int,4.524"
APL Materials	#N/A	Apl Materials	"Apl Materials,4.296"
CONTACT DERMATITIS	Contact Dermatitis	Contact Dermatitis	"Contact Dermatitis,5.504"
EDUCATIONAL PSYCHOLOGY REVIEW	Educ. Psychol. Rev.	Educ Psychol Rev	"Educ Psychol Rev,6.866"
IEEE Transactions on Information Forensics and Security	#N/A	Ieee Transactions On Information Forensics And Security	"Ieee Transactions On Information Forensics And Security,6.211"
MOLECULAR PLANT-MICROBE INTERACTIONS	Mol. Plant-Microbe Interact.	Mol Plant Microbe Interact	"Mol Plant Microbe Interact,3.649"
Journal of Biophotonics	#N/A	Journal Of Biophotonics	"Journal Of Biophotonics,3.763"
RADIOTHERAPY AND ONCOLOGY	Radiother. Oncol.	Radiother Oncol	"Radiother Oncol,5.252"
MOLECULAR NUTRITION & FOOD RESEARCH	Mol. Nutr. Food Res.	Mol Nutr Food Res	"Mol Nutr Food Res,4.653"
Developmental Cognitive Neuroscience	Dev. Cogn. Neurosci.	Dev Cogn Neurosci	"Dev Cogn Neurosci,4.920"
Journal of Breath Research	#N/A	Journal Of Breath Research	"Journal Of Breath Research,3.000"
ECOLOGICAL APPLICATIONS	Ecol. Appl.	Ecol Appl	"Ecol Appl,4.378"
CLADISTICS	Cladistics	Cladistics	"Cladistics,7.779"
INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS	Int. J. Antimicrob. Agents	Int J Antimicrob Agents	"Int J Antimicrob Agents,4.615"
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS	J. Am. Coll. Surg.	J Am Coll Surg	"J Am Coll Surg,4.450"
Advances in Heterocyclic Chemistry	Adv. Heterocycl. Chem.	Adv Heterocycl Chem	"Adv Heterocycl Chem,4.167"
ANTIMICROBIAL AGENTS AND CHEMOTHERAPY	Antimicrob. Agents Chemother.	Antimicrob Agents Chemother	"Antimicrob Agents Chemother,4.715"
Frontiers in Cellular and Infection Microbiology	#N/A	Frontiers In Cellular And Infection Microbiology	"Frontiers In Cellular And Infection Microbiology,3.518"
IEEE TRANSACTIONS ON SIGNAL PROCESSING	#N/A	Ieee Trans Signal Process	"Ieee Trans Signal Process,5.230"
International Journal of Nanomedicine	#N/A	International Journal Of Nanomedicine	"International Journal Of Nanomedicine,4.471"
Frontiers in Plant Science	#N/A	Frontiers In Plant Science	"Frontiers In Plant Science,4.106"
LUNG CANCER	Lung Cancer	Lung Cancer	"Lung Cancer,4.599"
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY	J. Enzyme Inhib. Med. Chem.	J Enzyme Inhib Med Chem	"J Enzyme Inhib Med Chem,4.027"
ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY	#N/A	Arthroscopy	"Arthroscopy,4.433"
Journal of CO2 Utilization	#N/A	Journal Of Co2 Utilization	"Journal Of Co2 Utilization,5.189"
EUROPEAN JOURNAL OF HUMAN GENETICS	Europ. J. Hum. Genet.	Eur J Hum Genet	"Eur J Hum Genet,3.650"
ENDOCRINOLOGY	Endocrinology	Endocrinology	"Endocrinology,3.800"
AGE AND AGEING	Age Ageing	Age Ageing	"Age Ageing,4.511"
American journal of physiology. Lung cellular and molecular physiology	#N/A	Am J Physiol Lung Cell Mol Physiol	#N/A
Advanced Materials Interfaces	#N/A	Advanced Materials Interfaces	"Advanced Materials Interfaces,4.713"
CORTEX	Cortex	Cortex	"Cortex,4.275"
ANTIVIRAL RESEARCH	Antiviral Res.	Antiviral Res	"Antiviral Res,4.130"
IEEE TRANSACTIONS ON AUTOMATIC CONTROL	#N/A	Ieee Trans Automat Contr	"Ieee Trans Automat Contr,5.093"
IEEE Journal of Emerging and Selected Topics in Power Electronics	#N/A	Ieee Journal Of Emerging And Selected Topics In Power Electronics	"Ieee Journal Of Emerging And Selected Topics In Power Electronics,5.972"
VLDB JOURNAL	#N/A	Vldb J	"Vldb J,1.973"
JOURNAL OF PROTEOME RESEARCH	J. Proteome Res.	J Proteome Res	"J Proteome Res,3.780"
PEDIATRIC DIABETES	Pediatr. Diabetes	Pediatr Diabetes	"Pediatr Diabetes,3.347"
CEMENT & CONCRETE COMPOSITES	Cem. Concr. Compos.	Cem Concr Compos	"Cem Concr Compos,5.172"
MACROMOLECULAR RAPID COMMUNICATIONS	#N/A	Macromol Rapid Commun	"Macromol Rapid Commun,4.078"
INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE	#N/A	Int J Eng Sci	"Int J Eng Sci,9.052"
Scientific Reports	Sci. Rep.	Sci Rep	"Sci Rep,4.011"
YALE LAW JOURNAL	Yale Law J.	Yale Law J	"Yale Law J,5.000"
Deutsches Arzteblatt International	#N/A	Deutsches Arzteblatt International	"Deutsches Arzteblatt International,4.469"
Geoscience Frontiers	#N/A	Geoscience Frontiers	"Geoscience Frontiers,4.160"
Advances in Parasitology	Adv. Parasitol.	Adv Parasitol	#N/A
JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS	#N/A	J Mech Phys Solids	"J Mech Phys Solids,4.087"
APPLIED SPECTROSCOPY REVIEWS	#N/A	Appl Spectrosc Rev	"Appl Spectrosc Rev,2.888"
GEOPHYSICAL RESEARCH LETTERS	Geophys. Res. Lett.	Geophys Res Lett	"Geophys Res Lett,4.578"
GERONTOLOGY	Gerontology	Gerontology	"Gerontology,3.353"
QUARTERLY REVIEW OF BIOLOGY	Q. Rev. Biol.	Q Rev Biol	"Q Rev Biol,3.519"
JOURNAL OF BIOGEOGRAPHY	J. Biogeogr.	J Biogeogr	"J Biogeogr,3.884"
Epidemiology and Psychiatric Sciences	#N/A	Epidemiology And Psychiatric Sciences	"Epidemiology And Psychiatric Sciences,6.402"
Epidemiology and Psychiatric Sciences	#N/A	Epidemiology And Psychiatric Sciences	"Epidemiology And Psychiatric Sciences,6.402"
CURRENT OPINION IN INFECTIOUS DISEASES	Curr. Opin. Infect. Dis.	Curr Opin Infect Dis	"Curr Opin Infect Dis,3.752"
DRUG METABOLISM AND DISPOSITION	Drug Metab. Disposition	Drug Metab Disposition	"Drug Metab Disposition,3.354"
ATHEROSCLEROSIS	Atherosclerosis	Atherosclerosis	"Atherosclerosis,4.255"
EUROPEAN NEUROPSYCHOPHARMACOLOGY	Eur. Neuropsychopharmacol.	Eur Neuropsychopharmacol	"Eur Neuropsychopharmacol,4.468"
Internet and Higher Education	#N/A	Internet And Higher Education	"Internet And Higher Education,5.284"
HEALTH TECHNOLOGY ASSESSMENT	Health Technol. Assess.	Health Technol Assess	"Health Technol Assess,3.819"
VALUE IN HEALTH	Value Health	Value Health	"Value Health,5.037"
VALUE IN HEALTH	Value Health	Value Health	"Value Health,5.037"
Mobile DNA	#N/A	Mobile Dna	"Mobile Dna,3.630"
JOURNAL OF COLLOID AND INTERFACE SCIENCE	J. Colloid Interface Sci.	J Colloid Interface Sci	"J Colloid Interface Sci,6.361"
Family Business Review	#N/A	Fam Bus Rev	"Fam Bus Rev,6.188"
EUROPEAN JOURNAL OF IMMUNOLOGY	Eur. J. Immunol.	Eur J Immunol	"Eur J Immunol,4.695"
JOURNAL OF PARENTERAL AND ENTERAL NUTRITION	#N/A	J Parent Enter Nutr	"J Parent Enter Nutr,4.109"
Journal of Cheminformatics	J. Cheminform.	J Cheminform	"J Cheminform,4.154"
PALLIATIVE MEDICINE	Palliat. Med.	Palliat Med	"Palliat Med,4.956"
CANCER JOURNAL	Cancer J.	Cancer J	"Cancer J,2.316"
ULTRASONICS SONOCHEMISTRY	Ultrason. Sonochem.	Ultrason Sonochem	"Ultrason Sonochem,7.279"
Journal of the Taiwan Institute of Chemical Engineers	#N/A	Journal Of The Taiwan Institute Of Chemical Engineers	"Journal Of The Taiwan Institute Of Chemical Engineers,3.834"
GEOLOGICAL SOCIETY OF AMERICA BULLETIN	Geol. Soc. Am. Bull.	Geol Soc Am Bull	"Geol Soc Am Bull,3.970"
JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL	#N/A	J Mol Catal A-Chem	"J Mol Catal A-Chem,5.008"
Stem Cell Research & Therapy	Stem Cell. Res. Ther.	Stem Cell Res Ther	"Stem Cell Res Ther,4.627"
Biomaterials Science	#N/A	Biomaterials Science	"Biomaterials Science,5.251"
CHEMOSPHERE	Chemosphere	Chemosphere	"Chemosphere,5.108"
JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA	#N/A	J Phys Chem Ref Data	"J Phys Chem Ref Data,4.684"
EVOLUTION	Evolution	Evolution	"Evolution,3.573"
JOURNAL OF INFECTION	J. Infect.	J Infect	"J Infect,5.099"
Advances in Geophysics	#N/A	Advan Geophys	"Advan Geophys,1.800"
JOURNAL OF GENERAL PHYSIOLOGY	J. Gen. Physiol.	J Gen Physiol	"J Gen Physiol,4.258"
ECOSYSTEMS	Ecosystems	Ecosystems	"Ecosystems,4.555"
CHILD DEVELOPMENT	Child Dev.	Child Dev	"Child Dev,5.024"
Advanced Electronic Materials	#N/A	Advanced Electronic Materials	"Advanced Electronic Materials,6.312"
Therapeutic Advances in Neurological Disorders	Ther. Adv. Neurol. Disord.	Ther Adv Neurol Disord	"Ther Adv Neurol Disord,3.580"
Journal of Advances in Modeling Earth Systems	#N/A	Journal Of Advances In Modeling Earth Systems	"Journal Of Advances In Modeling Earth Systems,3.457"
MEDICAL IMAGE ANALYSIS	Med. Image Anal.	Med Image Anal	"Med Image Anal,8.880"
PHYSICS TODAY	#N/A	Phys Today	"Phys Today,3.093"
HUMAN GENE THERAPY	Hum. Gene Ther.	Hum Gene Ther	"Hum Gene Ther,3.855"
PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY	#N/A	Prog Neuro-Psych Biol Psych	"Prog Neuro-Psych Biol Psych,4.315"
MOLECULAR CARCINOGENESIS	Mol. Carcinog.	Mol Carcinog	"Mol Carcinog,3.411"
Wiley Interdisciplinary Reviews-Developmental Biology	#N/A	Wiley Interdisciplinary Reviews-Developmental Biology	"Wiley Interdisciplinary Reviews-Developmental Biology,3.754"
JOURNAL OF PSYCHIATRIC RESEARCH	J. Psychiatr. Res.	J Psychiatr Res	"J Psychiatr Res,3.917"
JOURNAL OF PSYCHIATRIC RESEARCH	J. Psychiatr. Res.	J Psychiatr Res	"J Psychiatr Res,3.917"
IEEE JOURNAL OF SOLID-STATE CIRCUITS	#N/A	Ieee J Solid-State Circuits	"Ieee J Solid-State Circuits,5.173"
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS	#N/A	Ieee Trans Parall Distrib Sys	"Ieee Trans Parall Distrib Sys,3.402"
NITRIC OXIDE-BIOLOGY AND CHEMISTRY	#N/A	Nitric Oxide-Biol Chem	"Nitric Oxide-Biol Chem,3.371"
NEW MEDIA & SOCIETY	#N/A	New Media Soc	"New Media Soc,4.800"
JOURNAL OF PSYCHOPHARMACOLOGY	J. Psychopharm.	J Psychopharm	"J Psychopharm,4.221"
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW	Clin. Child Fam. Psychol. Rev.	Clin Child Fam Psychol Rev	"Clin Child Fam Psychol Rev,3.558"
AMERICAN NATURALIST	Am. Nat.	Am Nat	"Am Nat,3.855"
Materials Science & Engineering C-Materials for Biological Applications	#N/A	Materials Science & Engineering C-Materials For Biological Applications	"Materials Science & Engineering C-Materials For Biological Applications,4.959"
TALANTA	Talanta	Talanta	"Talanta,4.916"
JOURNAL OF CLIMATE	J. Clim.	J Clim	"J Clim,4.805"
